Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2899","ZIJIN MINING GROUP LTD H","Materialien","Aktien","28.013.755,83","0,12","28.013.755,83","13.708.000,00","2,04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"NESTLEIND","NESTLE INDIA LTD","Nichtzyklische Konsumgüter","Aktien","27.675.195,34","0,12","27.675.195,34","856.748,00","32,30","Indien","National Stock Exchange Of India","INR"
"196170","ALTEOGEN INC","Gesundheitsversorgung","Aktien","27.424.633,61","0,12","27.424.633,61","100.421,00","273,10","Korea","Korea Exchange (Kosdaq)","KRW"
"DMART","AVENUE SUPERMARTS LTD","Nichtzyklische Konsumgüter","Aktien","27.328.900,43","0,12","27.328.900,43","429.259,00","63,67","Indien","National Stock Exchange Of India","INR"
"6160","BEIGENE LTD","Gesundheitsversorgung","Aktien","27.120.747,92","0,12","27.120.747,92","1.714.892,00","15,81","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TECHM","TECH MAHINDRA LTD","IT","Aktien","27.081.619,23","0,12","27.081.619,23","1.395.289,00","19,41","Indien","National Stock Exchange Of India","INR"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materialien","Aktien","26.601.578,23","0,12","26.601.578,23","3.201.485,00","8,31","Indien","National Stock Exchange Of India","INR"
"ONGC","OIL AND NATURAL GAS LTD","Energie","Aktien","26.582.207,51","0,12","26.582.207,51","7.760.672,00","3,43","Indien","National Stock Exchange Of India","INR"
"HAL","HINDUSTAN AERONAUTICS LTD","Industrie","Aktien","26.556.897,70","0,12","26.556.897,70","512.162,00","51,85","Indien","National Stock Exchange Of India","INR"
"EMIRATESNBD","EMIRATES NBD","Financials","Aktien","26.543.308,92","0,12","26.543.308,92","4.790.839,00","5,54","Ver. Arabische Emirate","Dubai Financial Market","AED"
"CIPLA","CIPLA LTD","Gesundheitsversorgung","Aktien","26.359.255,74","0,12","26.359.255,74","1.344.314,00","19,61","Indien","National Stock Exchange Of India","INR"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Aktien","26.126.094,94","0,11","26.126.094,94","1.167.424,00","22,38","Indien","National Stock Exchange Of India","INR"
"BDMS.R","BANGKOK DUSIT MEDICAL SERVICES NON","Gesundheitsversorgung","Aktien","26.083.531,73","0,11","26.083.531,73","28.270.700,00","0,92","Thailand","Stock Exchange Of Thailand","THB"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","IT","Aktien","26.051.906,53","0,11","26.051.906,53","8.048.700,00","3,24","Thailand","Stock Exchange Of Thailand","THB"
"TLKM","TELEKOMUNIKASI INDONESIA","Kommunikation","Aktien","26.021.931,68","0,11","26.021.931,68","125.153.100,00","0,21","Indonesien","Indonesia Stock Exchange","IDR"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Aktien","25.955.621,92","0,11","25.955.621,92","12.290.882,00","2,11","Brasilien","XBSP","BRL"
"MAXHEALTH","MAX HEALTHCARE INSTITUTE LTD","Gesundheitsversorgung","Aktien","25.605.668,80","0,11","25.605.668,80","2.003.729,00","12,78","Indien","National Stock Exchange Of India","INR"
"INDIGO","INTERGLOBE AVIATION LTD","Industrie","Aktien","25.595.363,52","0,11","25.595.363,52","436.210,00","58,68","Indien","National Stock Exchange Of India","INR"
"012330","HYUNDAI MOBIS LTD","Zyklische Konsumgüter ","Aktien","25.389.916,11","0,11","25.389.916,11","150.999,00","168,15","Korea","Korea Exchange (Stock Market)","KRW"
"PTT.R","PTT NON-VOTING DR PCL","Energie","Aktien","25.366.961,36","0,11","25.366.961,36","25.220.100,00","1,01","Thailand","Stock Exchange Of Thailand","THB"
"CEMEXCPO","CEMEX CPO","Materialien","Aktien","24.998.835,27","0,11","24.998.835,27","38.763.218,00","0,64","Mexiko","Bolsa Mexicana De Valores","MXN"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Aktien","24.863.348,04","0,11","24.863.348,04","25.637.320,00","0,97","Taiwan","Taiwan Stock Exchange","TWD"
"3034","NOVATEK MICROELECTRONICS CORP","IT","Aktien","24.856.843,42","0,11","24.856.843,42","1.561.000,00","15,92","Taiwan","Taiwan Stock Exchange","TWD"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Aktien","24.591.075,34","0,11","24.591.075,34","12.313.471,00","2,00","Brasilien","XBSP","BRL"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Aktien","24.129.776,93","0,11","24.129.776,93","28.253.052,00","0,85","Taiwan","Taiwan Stock Exchange","TWD"
