Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","1.375.567,92","0,14","1.375.567,92","5.271,00","260,97","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BALN","BALOISE HOLDING AG","Financials","Aktien","1.312.353,72","0,13","1.312.353,72","6.592,00","199,08","Schweiz","SIX Swiss Exchange","CHF"
"POW","POWER CORPORATION OF CANADA","Financials","Aktien","1.295.914,23","0,13","1.295.914,23","41.278,00","31,39","Kanada","Toronto Stock Exchange","CAD"
"7202","ISUZU MOTORS LTD","Zyklische Konsumgüter ","Aktien","1.212.656,90","0,12","1.212.656,90","85.900,00","14,12","Japan","Tokyo Stock Exchange","JPY"
"BOL","BOLIDEN","Materialien","Aktien","1.197.575,73","0,12","1.197.575,73","40.054,00","29,90","Schweden","Nasdaq Omx Nordic","SEK"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","1.193.344,13","0,12","1.193.344,13","278.367,00","4,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"A17U","CAPITALAND ASCENDAS REIT","Immobilien","Aktien","1.186.414,60","0,12","1.186.414,60","536.500,00","2,21","Singapur","Singapore Exchange","SGD"
"AGS","AGEAS SA","Financials","Aktien","1.186.299,14","0,12","1.186.299,14","22.661,00","52,35","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"MNDI","MONDI PLC","Materialien","Aktien","1.184.029,25","0,12","1.184.029,25","63.728,00","18,58","Vereinigtes Königreich","London Stock Exchange","GBP"
"TRYG","TRYG","Financials","Aktien","1.183.425,33","0,12","1.183.425,33","50.421,00","23,47","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SHL","SONIC HEALTHCARE LTD","Gesundheitsversorgung","Aktien","1.181.321,35","0,12","1.181.321,35","66.143,00","17,86","Australien","Asx - All Markets","AUD"
"NESTE","NESTE","Energie","Aktien","1.137.894,19","0,11","1.137.894,19","61.075,00","18,63","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"7272","YAMAHA MOTOR LTD","Zyklische Konsumgüter ","Aktien","1.134.251,39","0,11","1.134.251,39","129.200,00","8,78","Japan","Tokyo Stock Exchange","JPY"
"6645","OMRON CORP","IT","Aktien","1.113.192,79","0,11","1.113.192,79","26.000,00","42,82","Japan","Tokyo Stock Exchange","JPY"
